#ID,P1,P2,Result,Result
2021,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000fkni3fjOxj15nYvt008kV42aA9wa3fFkOa3fI1Np00pNMamKfWDamKdgH9l9UA79l5LWt9l5DSF90dhxK9puwot9p8eys90zznL7kdKRM7kdO6v7kdPHR7kmAY27kmDVm7kmFO7t00bP3t00bP3p00su3E6QB4Fr00Ilfr01evS,P1Win,P2Win
2022,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000jmhj15nYvp00wvVp00tPJ41rzo5a2aEc5a2aGS4an7jyBan7mfxp005DF9l9Uzj9l9YBd9l5DSF9l5HUz9l1nd2T01hcO9l1reVa6vJika6vLYga6vLYja6vOFfp01hdpp01ARm8cRkuyp00BXjp005EOr01AQP7kdPHR7kdRke7kdSVA7kdUxW7kdWaj7kmEJx7kmGlT7kmHXg7kmJzC7kmLbY7kigwS7kii9f7kijKB7kilmX7kimYk,P2Win,P2Win
2023,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000vbMp00efgp005nh9l5vOR9l5Aoy9l1gdN9l1kMu9l1pmb9kW5bv9kW9K8j2aGAPamKsQwamKvxsa2aR6aa2aTfo42aO8fO00iNRT01AOCae6EoUae6H5Q7kmvBa7kmyOS7kmC3B7kmFhk7kmIv37kmLIL7kmtbC7kmwpl7kmzD47kmCQM7kmG5v7kmJje8dwr3Jp01ARmp00BXj8cRhNC,P1Win,P2Win
2024,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000u7Ap00bivj15E7Aa00E4ka00GKip00JsRamKxJ74puQzmp00NIPp00MDAamKBsiamKyLmT011C1a3gkD2a9K61ma9K3kr7ke5Li7kitra7k9EWh7ke3C97kiri27k9CN97ke1t27kip8U7k9AE27kdYjU7kinwx7k9z2E9kMWS79kN5VX9kNe139kNm4O9la3De9labGY9lajL79larOUa3ghW6,P2Win,P1Win
2025,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000ztSt00mznj15E77p00cCO9lepGC9kRnXp9la6k39kN4AP9labGU9kN9XH9lah4M9kNflz9lamrE9kIUY09l63559kJ1lR42aV7pp00OfTanPGCKanPDVOr01vsd7ke6Pta15ORcp00JXuabUhH87kea4c7kedhU7kmU3X7kmVVI7kn0ar,P1Win,P2Win
2026,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000y9ii004zot00n85p00eMSp006sGj15E7j9ler2X9kRtlE9laamk9kNcF19laipU9kNkIE9l61Jj9kJ4357kmRDGp00ICIp00Lzla3g0uHamKx9O41rOrsamKzPKzcUX8CT01rWI7kmUky7kmX1u7keaRA7ke8bD7ke5uJa9LcblagfkUAa9LeRh,P1Win,P2Win
2027,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000hLximOhT460qAaRzd0jUYj19MKoalFcWlalFagka3fIjLp00rrH41ryl19kRiBJ9kRqFQ9kRyJB9pLSgP9pLXDG9pHEho9pHJEg1nt4DT1nt6ge7k9qIt7k9pnx7kdUzq7kdSX27kiftK7kih67p00F7wp00fQxp00BTXr00x7OafafKLr015Wz,P2Win,P1Win
2028,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000i2DimOfJI7k9nuw7k9qIc7k9sAV7kdKCu7kdNQj7kdPJ29kRnIy9kNe1K9kRs1w9kRxokzd0b3Yj15o0E1nKGm01nKJQ4xjVbkLamKhQfamKfagp00rHUa3fI35415xGc908XbQ90dtDO90dAmIl8iNmRp01ARox5YOwH,P2Win,P2Win
2029,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000ik6imJQ1mj1n10uxjV7jz9kRBrn9kVTJi9kVNhAld0aNLNpQnGsam2fe7anC7UPa1NEEup00rsDp00FVX40zGG29pUMqT90hSW690i1cK7kr12a7kr53Y7kidSd7kihU47k9uL97k9qJg1p8nbw7oy5hu,P1Win,P1Win
2030,000iAhjoUfQzp00jTKakW1Xtp00tRIt00hfdt00hfdaiLYG5GjuMhdp00wxkr00vtt6pHyV0zdqBhKU01xkra3gQlsajw0r29eT2KH9fTIbT7eFOwnL4V7rJakA42ba0IxQog01tiw60hLHca0IAxUr00tlwp00qBhp00SOAp01ASH,000iAHinsU0Lj15o1VNpLYdCzcul9balFdeGanPkSYT00u8p8nGtrap00rcq415xr6a1rAMglccNg190hJgO900nq47kieqc7kr4wp7kmGok7kijgf7kr9mv1noDj61kVU0T700e1h900fmdgclwnor00krTxk4VSi,P2Win,P1Win
